announcement_date,effective_date,index,action,ticker,company_name
2011-06-03,2011-06-17,ASX200,Addition,AZT,Aston Resources Limited
2011-06-03,2011-06-17,ASX200,Addition,BTU,Bathurst Resources Limited
2011-06-03,2011-06-17,ASX200,Addition,CPB,Campbell Brothers Limited
2011-06-03,2011-06-17,ASX200,Addition,NWH,NRW Holdings Limited
2011-06-03,2011-06-17,ASX200,Removal,CVN,Carnarvon Petroleum Limited
2011-06-03,2011-06-17,ASX200,Removal,EAU,Eldorado Gold Corporation
2011-06-03,2011-06-17,ASX200,Removal,MCR,Mincor Resources NL
2011-06-03,2011-06-17,ASX200,Removal,ROC,ROC Oil Company Limited
2012-09-07,2012-09-21,ASX200,Addition,DLS,Drillsearch Energy Limited
2012-09-07,2012-09-21,ASX200,Addition,SAI,SAI Global Limited
2012-09-07,2012-09-21,ASX200,Addition,SKE,Skilled Group Limited
2012-09-07,2012-09-21,ASX200,Removal,AQP,Aquarius Platinum Limited
2012-09-07,2012-09-21,ASX200,Removal,PAN,Panoramic Resources Limited
2012-09-07,2012-09-21,ASX200,Removal,RMS,Ramelius Resources Limited
2012-12-07,2012-12-21,ASX200,Addition,IIN,iiNet Limited
2012-12-07,2012-12-21,ASX200,Addition,MAD,Maverick Drilling and Exploration Limited
2012-12-07,2012-12-21,ASX200,Addition,MMS,McMillan Shakespeare Limited
2012-12-07,2012-12-21,ASX200,Removal,APN,APN News & Media Limited
2012-12-07,2012-12-21,ASX200,Removal,IAU,Intrepid Mines Limited
2012-12-07,2012-12-21,ASX200,Removal,LNC,Linc Energy Ltd
2012-12-07,2012-12-21,ASX200,Removal,MAH,Macmahon Holdings Limited
2013-03-01,2013-03-15,ASX200,Addition,HZN,Horizon Oil Limited
2013-03-01,2013-03-15,ASX200,Addition,MFG,Magellan Financial Group Limited
2013-03-01,2013-03-15,ASX200,Addition,PMV,Premier Investments Limited
2013-03-01,2013-03-15,ASX200,Addition,TME,Trade Me Group Limited
2013-03-01,2013-03-15,ASX200,Removal,BTU,Bathurst Resources Limited
2013-03-01,2013-03-15,ASX200,Removal,GBG,Gindalbie Metals Limited
2013-03-01,2013-03-15,ASX200,Removal,GRY,Gryphon Minerals Limited
2013-03-01,2013-03-15,ASX200,Removal,SAR,Saracen Mineral Holdings Limited
2013-06-07,2013-06-21,ASX200,Addition,AHE,Automotive Holdings Group Limited
2013-06-07,2013-06-21,ASX200,Addition,DMP,Domino's Pizza Enterprises Limited
2013-06-07,2013-06-21,ASX200,Addition,GEM,G8 Education Limited
2013-06-07,2013-06-21,ASX200,Addition,LNC,Linc Energy Ltd
2013-06-07,2013-06-21,ASX200,Addition,REA,REA Group Ltd
2013-06-07,2013-06-21,ASX200,Addition,SIR,Sirius Resources NL
2013-06-07,2013-06-21,ASX200,Removal,AIX,Australian Infrastructure Fund Limited
2013-06-07,2013-06-21,ASX200,Removal,CPL,Coalspur Mines Limited
2013-06-07,2013-06-21,ASX200,Removal,IMD,Imdex Limited
2013-06-07,2013-06-21,ASX200,Removal,MAD,Maverick Drilling and Exploration Limited
2013-06-07,2013-06-21,ASX200,Removal,MBN,Mirabela Nickel Limited
2013-06-07,2013-06-21,ASX200,Removal,TRY,Troy Resources Limited
2013-09-06,2013-09-20,ASX200,Addition,CMW,Cromwell Property Group
2013-09-06,2013-09-20,ASX200,Addition,FGE,Forge Group Limited
2013-09-06,2013-09-20,ASX200,Addition,SGN,STW Communications Group Limited
2013-09-06,2013-09-20,ASX200,Addition,SKT,Sky Network Television Limited
2013-09-06,2013-09-20,ASX200,Removal,BBG,Billabong International Limited
2013-09-06,2013-09-20,ASX200,Removal,DML,Discovery Metals Limited
2013-09-06,2013-09-20,ASX200,Removal,EHL,Emeco Holdings Limited
2013-09-06,2013-09-20,ASX200,Removal,FKP,FKP Property Group
2013-09-06,2013-09-20,ASX200,Removal,MDL,Mineral Deposits Limited
2013-12-06,2013-12-20,ASX200,Addition,BCI,BC Iron Limited
2013-12-06,2013-12-20,ASX200,Addition,RFG,Retail Food Group Limited
2013-12-06,2013-12-20,ASX200,Addition,SGH,Slater & Gordon Limited
2013-12-06,2013-12-20,ASX200,Addition,SKC,Skycity Entertainment Group Limited
2013-12-06,2013-12-20,ASX200,Addition,VRL,Village Roadshow Limited
2013-12-06,2013-12-20,ASX200,Addition,VRT,Virtus Health Limited
2013-12-06,2013-12-20,ASX200,Removal,BLY,Boart Longyear Limited
2013-12-06,2013-12-20,ASX200,Removal,CDU,Cudeco Limited
2013-12-06,2013-12-20,ASX200,Removal,FWD,Fleetwood Corporation Limited
2013-12-06,2013-12-20,ASX200,Removal,KCN,Kingsgate Consolidated Limited
2013-12-06,2013-12-20,ASX200,Removal,OGC,OceanaGold Corporation
2013-12-06,2013-12-20,ASX200,Removal,SBM,St Barbara Limited
2013-12-06,2013-12-20,ASX200,Removal,SDL,Sundance Resources Limited
2014-03-07,2014-03-21,ASX200,Addition,AGI,Ainsworth Game Technology Limited
2014-03-07,2014-03-21,ASX200,Addition,ARP,ARB Corporation Limited
2014-03-07,2014-03-21,ASX200,Addition,BGA,Bega Cheese Limited
2014-03-07,2014-03-21,ASX200,Addition,CVO,Cover-More Group Limited
2014-03-07,2014-03-21,ASX200,Addition,OFX,Ozforex Group Limited
2014-03-07,2014-03-21,ASX200,Addition,PGH,Pact Group Holdings Ltd
2014-03-07,2014-03-21,ASX200,Addition,VED,Veda Group Limited
2014-03-07,2014-03-21,ASX200,Removal,AQG,Alacer Gold Corp.
2014-03-07,2014-03-21,ASX200,Removal,ASL,Ausdrill Limited
2014-03-07,2014-03-21,ASX200,Removal,DCG,Decmil Group Limited
2014-03-07,2014-03-21,ASX200,Removal,EWC,Energy World Corporation Ltd
2014-03-07,2014-03-21,ASX200,Removal,SLR,Silver Lake Resources Limited
2014-03-07,2014-03-21,ASX200,Removal,SMX,SMS Management & Technology Limited
2014-03-07,2014-03-21,ASX200,Removal,VAH,Virgin Australia Holdings Limited
2014-06-06,2014-06-20,ASX200,Addition,TGR,Tassal Group Limited
2014-06-06,2014-06-20,ASX200,Removal,ACR,Acrux Limited
2014-09-05,2014-09-19,ASX200,Addition,AHY,Asaleo Care Limited
2014-09-05,2014-09-19,ASX200,Addition,LNG,Liquefied Natural Gas Limited
2014-09-05,2014-09-19,ASX200,Addition,TNE,Technology One Limited
2014-09-05,2014-09-19,ASX200,Removal,BRU,Buru Energy Limited
2014-09-05,2014-09-19,ASX200,Removal,NWH,NRW Holdings Limited
2014-09-05,2014-09-19,ASX200,Removal,TRS,The Reject Shop Limited
2014-12-05,2014-12-19,ASX200,Addition,APN,APN News & Media Limited
2014-12-05,2014-12-19,ASX200,Addition,VOC,Vocus Communications Limited
2014-12-05,2014-12-19,ASX200,Removal,MML,Medusa Mining Limited
2014-12-05,2014-12-19,ASX200,Removal,RSG,Resolute Mining Limited
2015-03-06,2015-03-20,ASX200,Addition,AAC,Australian Agricultural Company Limited
2015-03-06,2015-03-20,ASX200,Addition,CTD,Corporate Travel Management Limited
2015-03-06,2015-03-20,ASX200,Addition,DSH,Dick Smith Holdings Limited
2015-03-06,2015-03-20,ASX200,Addition,EHE,Estia Health Limited
2015-03-06,2015-03-20,ASX200,Addition,REG,Regis Healthcare Limited
2015-03-06,2015-03-20,ASX200,Addition,SYR,Syrah Resources Limited
2015-03-06,2015-03-20,ASX200,Removal,AGO,Atlas Iron Limited
2015-03-06,2015-03-20,ASX200,Removal,BCI,BC Iron Limited
2015-03-06,2015-03-20,ASX200,Removal,BDR,Beadell Resources Limited
2015-03-06,2015-03-20,ASX200,Removal,HZN,Horizon Oil Limited
2015-03-06,2015-03-20,ASX200,Removal,LYC,Lynas Corporation Limited
2015-03-06,2015-03-20,ASX200,Removal,MGX,Mount Gibson Iron Limited
2015-06-05,2015-06-19,ASX200,Addition,CCP,Credit Corp Group Limited
2015-06-05,2015-06-19,ASX200,Addition,GOZ,Growthpoint Properties Australia
2015-06-05,2015-06-19,ASX200,Addition,NSR,National Storage REIT
2015-06-05,2015-06-19,ASX200,Removal,SEA,Sundance Energy Australia Limited
2015-06-05,2015-06-19,ASX200,Removal,SGN,STW Communications Group Limited
2015-06-05,2015-06-19,ASX200,Removal,SKE,Skilled Group Limited
2015-09-04,2015-09-18,ASX200,Addition,ALU,Altium Limited
2015-09-04,2015-09-18,ASX200,Addition,ASB,Austal Limited
2015-09-04,2015-09-18,ASX200,Addition,BAP,Burson Group Limited
2015-09-04,2015-09-18,ASX200,Addition,GTY,Gateway Lifestyle Group
