action,cohort,window,n,mean_car_pct,median_car_pct,t_stat,p_ttest,p_wilcoxon,pct_expected_dir,p_sign,p_placebo
Addition,scheduled,"ann[-1,+1]",126,2.339,1.955,4.67,0.0,0.0,72.2,0.0,
Addition,scheduled,"ann[0,+1]",126,1.921,1.602,4.72,0.0,0.0,68.3,0.0001,0.009
Addition,scheduled,"post[+2,+5]",126,-0.815,-0.034,-1.48,0.1411,0.242,50.0,1.0,
Addition,scheduled,"post[+2,+10]",126,-2.01,-2.429,-2.7,0.0079,0.0056,38.9,0.0158,0.9993
Addition,scheduled,"run[0,+10]",126,-0.089,0.913,-0.11,0.9146,0.5998,52.4,0.6562,0.8497
Addition,scheduled,"run[0,+20]",126,0.889,0.232,0.73,0.4669,0.4916,51.6,0.7894,
Addition,off_cycle,"ann[-1,+1]",57,2.427,2.485,4.92,0.0,0.0,73.7,0.0005,
Addition,off_cycle,"ann[0,+1]",57,2.316,2.158,4.64,0.0,0.0,77.2,0.0,0.0007
Addition,off_cycle,"post[+2,+5]",60,-3.359,-1.931,-2.33,0.0234,0.0003,31.7,0.0062,
Addition,off_cycle,"post[+2,+10]",60,-4.378,-2.055,-2.53,0.014,0.0096,40.0,0.155,1.0
Addition,off_cycle,"run[0,+10]",60,-2.178,0.87,-1.19,0.2387,0.7684,51.7,0.8974,0.9913
Addition,off_cycle,"run[0,+20]",60,-2.236,-1.604,-0.96,0.3416,0.591,46.7,0.6989,
Removal,scheduled,"ann[-1,+1]",121,-1.046,-0.467,-1.71,0.0898,0.0414,62.0,0.0106,
Removal,scheduled,"ann[0,+1]",121,-0.877,-0.261,-1.68,0.0963,0.112,54.5,0.3634,0.023
Removal,scheduled,"post[+2,+5]",121,0.369,-0.091,0.57,0.5702,0.5861,50.4,1.0,
Removal,scheduled,"post[+2,+10]",121,0.44,-0.746,0.44,0.6626,0.8411,52.9,0.5856,0.5192
Removal,scheduled,"run[0,+10]",121,-0.437,-0.866,-0.37,0.7114,0.2779,56.2,0.2029,0.1789
Removal,scheduled,"run[0,+20]",121,-2.529,-1.995,-1.24,0.2183,0.0386,56.2,0.2029,
Removal,off_cycle,"ann[-1,+1]",22,-1.137,-0.45,-1.34,0.1937,0.388,54.5,0.8318,
Removal,off_cycle,"ann[0,+1]",22,-0.856,-0.199,-1.18,0.2524,0.5661,54.5,0.8318,0.2073
Removal,off_cycle,"post[+2,+5]",23,4.987,0.778,1.17,0.254,0.56,43.5,0.6776,
Removal,off_cycle,"post[+2,+10]",22,1.972,2.131,0.3,0.7676,0.5661,40.9,0.5235,0.5501
Removal,off_cycle,"run[0,+10]",23,1.342,2.657,0.21,0.8342,0.601,39.1,0.4049,0.4065
Removal,off_cycle,"run[0,+20]",16,1.716,2.741,0.18,0.8618,0.2312,31.2,0.2101,
