tier,announcement_date,effective_date,ticker,company_name,action,side,entry_date,entry_close,median_turnover_aud,exit_eff_date,exit_eff_close,raw_eff_pct,trade_eff_pct,exit_eff5_date,exit_eff5_close,raw_eff5_pct,trade_eff5_pct,exit_eff10_date,exit_eff10_close,raw_eff10_pct,trade_eff10_pct,entry_open,ret_open,ret_close,first_day_give_up
ASX100,2012-09-07,2012-09-21,ALL,Aristocrat Leisure Limited,Addition,long,2012-09-10,2.0282,7515501.0,2012-09-21,2.154,6.202,6.202,2012-09-28,2.1147,4.264,4.264,2012-10-05,2.1776,7.364,7.364,2.067541663524165,2.2808892951377224,4.26486539788975,-1.9028232522824262
ASX100,2012-09-07,2012-09-21,JBH,JB Hi-Fi Limited,Removal,short,2012-09-10,4.4513,3536886.0,2012-09-21,4.3568,-2.123,2.123,2012-09-28,4.511,1.341,-1.341,2012-10-05,4.9636,11.508,-11.508,4.565709374627906,1.198266690646821,-1.3411812279558788,2.5058400620873944
ASX200,2012-09-07,2012-09-21,PAN,Panoramic Resources Limited,Removal,short,2012-09-10,0.3423,1478847.0,2012-09-21,0.3851,12.5,-12.5,2012-09-28,0.3555,3.846,-3.846,2012-10-05,0.4147,21.154,-21.154,0.342285692691803,-3.8606075539637796,-3.8562664329535368,-0.004179931706893569
ASX100,2012-12-07,2012-12-21,ABC,Adelaide Brighton Limited,Addition,long,2012-12-10,2.0,12022305.0,2012-12-21,1.99,-0.5,-0.5,2012-12-28,2.01,0.5,0.5,2013-01-04,2.05,2.5,2.5,2.019230769230769,-0.45714285714286707,0.49999999999998934,-0.952380952380949
ASX100,2012-12-07,2012-12-21,FLT,Flight Centre Limited,Addition,long,2012-12-10,16.5405,22697441.0,2012-12-21,16.6677,0.769,0.769,2012-12-28,17.1957,3.962,3.962,2013-01-04,17.3802,5.077,5.077,16.979448200434035,1.2736091126944515,3.9611861793778624,-2.5851735300963075
ASX100,2012-12-07,2012-12-21,BLY,Boart Longyear Limited,Removal,short,2012-12-10,8135.44,7879478.0,2012-12-21,10221.46,25.641,-25.641,2012-12-28,11413.46,40.293,-40.293,2013-01-04,11592.26,42.491,-42.491,7986.439613261065,-42.910490189502546,-40.29308801982437,-1.8656672303829502
ASX100,2012-12-07,2012-12-21,PDN,Paladin Energy Ltd,Removal,short,2012-12-10,7.0477,10965042.0,2012-12-21,9.0176,27.95,-27.95,2012-12-28,9.0614,28.571,-28.571,2013-01-04,9.4991,34.783,-34.783,7.266610145568848,-24.699135064038202,-28.572442073300518,3.012548371021917
ASX100,2012-12-07,2012-12-21,SWM,Seven West Media Limited,Removal,short,2012-12-10,1.07,4525806.0,2012-12-21,1.03,-3.738,3.738,2012-12-28,1.13,5.607,-5.607,2013-01-04,1.25,16.822,-16.822,1.0840789473684211,-4.235950964922908,-5.607476635513997,1.2987012987012991
ASX200,2012-12-07,2012-12-21,MMS,McMillan Shakespeare Limited,Addition,long,2012-12-10,6.035,2565933.0,2012-12-21,6.228,3.199,3.199,2012-12-28,6.4303,6.55,6.55,2013-01-04,6.4165,6.321,6.321,6.113110683454334,5.188672886361556,6.550124275062141,-1.277756734648161
ASX200,2012-12-07,2012-12-21,LNC,Linc Energy Ltd,Removal,short,2012-12-10,0.885,10668181.0,2012-12-21,1.11,25.424,-25.424,2012-12-28,1.16,31.073,-31.073,2013-01-04,1.245,40.678,-40.678,0.824999988079071,-40.60606263776349,-31.073446327683605,-7.272728822776453
