ticker,n_events,actions,first_ann,last_ann,company_name,in_yahoo,in_fmp,has_price
360,3,"Addition,Removal",2021-12-07,2023-03-03,Life360 Inc.,True,True,True
4DX,1,Addition,2026-04-13,2026-04-13,,True,True,True
A2M,1,Addition,2016-06-10,2016-06-10,The A2 Milk Company Limited,True,True,True
AAC,2,"Addition,Removal",2015-03-06,2018-03-09,Australian Agricultural Company Limited,True,True,True
AAI,1,Addition,2024-07-19,2024-07-19,,True,True,True
ABB,1,Addition,2025-12-05,2025-12-05,Aussie Broadband Limited,True,True,True
ABC,1,Removal,2023-03-03,2023-03-03,Adbri Limited,True,True,True
ABG,1,Removal,2023-09-01,2023-09-01,Abacus Group,True,True,True
ABP,1,Addition,2023-07-27,2023-07-27,,True,True,True
ACR,2,"Addition,Removal",2011-09-16,2014-06-06,Acrux Limited,True,True,True
ACX,1,Addition,2016-03-11,2016-03-11,Aconex Limited,True,True,True
AD8,2,"Addition,Removal",2024-03-01,2025-03-07,Audinate Group Limited,True,True,True
AGI,2,"Addition,Removal",2014-03-07,2015-09-04,Ainsworth Game Technology Limited,True,True,True
AGO,1,Removal,2015-03-06,2015-03-06,Atlas Iron Limited,True,True,True
AHE,1,Addition,2013-06-07,2013-06-07,Automotive Holdings Group Limited,True,True,True
AHG,1,Removal,2019-03-08,2019-03-08,Automotive Holdings Group Limited,False,False,False
AHY,2,"Addition,Removal",2014-09-05,2018-06-08,Asaleo Care Limited,False,False,False
AIO,1,Removal,2016-07-22,2016-07-22,,False,False,False
AIX,1,Removal,2013-06-07,2013-06-07,Australian Infrastructure Fund Limited,False,False,False
AKE,1,Removal,2023-12-19,2023-12-19,,True,True,True
ALG,1,Removal,2019-09-06,2019-09-06,Ardent Leisure Group Limited,True,True,True
ALK,1,Addition,2026-04-15,2026-04-15,,True,True,True
ALU,1,Addition,2015-09-04,2015-09-04,Altium Limited,True,True,True
ALZ,1,Removal,2014-08-15,2014-08-15,,False,False,False
AMC,1,Addition,2013-12-10,2013-12-10,,True,True,True
AOG,1,Removal,2019-11-07,2019-11-07,,False,False,False
AOV,1,Removal,2025-09-05,2025-09-05,Amotiv Limited,True,True,True
APE,1,Addition,2019-12-13,2019-12-13,AP Eagers Limited,True,True,True
API,2,"Addition,Removal",2015-12-04,2019-09-06,Australian Pharmaceutical Industries Limited,False,False,False
APN,3,"Addition,Removal",2012-12-07,2016-06-17,APN News & Media Limited,False,False,False
